gene	individual	counts	tissue	sex	path
_scaffold_1_003881.1	indv_1	24	flowers	male	rddm
_scaffold_1_000279.1	indv_1	4128	flowers	male	rddm
_scaffold_1_000282.1	indv_1	2904	flowers	male	rddm
_scaffold_1_003879.1	indv_1	1968	flowers	male	rddm
_scaffold_1_003878.1	indv_1	1835	flowers	male	rddm
_scaffold_1_000289.1	indv_1	48	flowers	male	rddm
_scaffold_1_003873.1	indv_1	1320	flowers	male	rddm
_scaffold_1_003872.1	indv_1	480	flowers	male	rddm
_scaffold_1_000305.1	indv_1	624	flowers	male	rddm
_scaffold_1_000306.1	indv_1	1032	flowers	male	rddm
_scaffold_1_000307.1	indv_1	912	flowers	male	rddm
_scaffold_1_000308.1	indv_1	1896	flowers	male	rddm
_scaffold_1_000309.1	indv_1	1848	flowers	male	rddm
_scaffold_1_003862.1	indv_1	288	flowers	male	rddm
_scaffold_1_000312.1	indv_1	1008	flowers	male	rddm
_scaffold_1_000314.1	indv_1	480	flowers	male	rddm
_scaffold_1_003861.1	indv_1	168	flowers	male	rddm
_scaffold_1_000316.1	indv_1	480	flowers	male	rddm
_scaffold_1_000319.1	indv_1	2352	flowers	male	rddm
_scaffold_1_003860.1	indv_1	1248	flowers	male	rddm
_scaffold_1_003859.1	indv_1	2340	flowers	male	rddm
_scaffold_1_003858.1	indv_1	2184	flowers	male	rddm
_scaffold_1_003857.1	indv_1	2904	flowers	male	rddm
_scaffold_1_003855.1	indv_1	24	flowers	male	rddm
_scaffold_1_000320.1	indv_1	408	flowers	male	rddm
_scaffold_1_000321.1	indv_1	1848	flowers	male	rddm
_scaffold_1_003847.1	indv_1	504	flowers	male	rddm
_scaffold_1_003846.1	indv_1	240	flowers	male	rddm
_scaffold_1_000323.1	indv_1	1080	flowers	male	rddm
_scaffold_1_000326.1	indv_1	144	flowers	male	rddm
_scaffold_1_000329.1	indv_1	1848	flowers	male	rddm
_scaffold_1_003845.1	indv_1	192	flowers	male	rddm
_scaffold_1_003844.1	indv_1	672	flowers	male	rddm
_scaffold_1_000330.1	indv_1	432	flowers	male	rddm
_scaffold_1_003843.1	indv_1	216	flowers	male	rddm
_scaffold_1_000331.1	indv_1	24	flowers	male	rddm
_scaffold_1_000332.1	indv_1	1344	flowers	male	rddm
_scaffold_1_000333.1	indv_1	1008	flowers	male	rddm
_scaffold_1_003836.1	indv_1	288	flowers	male	rddm
_scaffold_1_000339.1	indv_1	0	flowers	male	rddm
